Reference, Value, Footprint, Datasheet
PB3,ADC3,pulse:Pad01,
P1,12V,pulse:Header_12V,
U1,ATTINY45-20SU,pulse:SO8E,
P3,ISP,pulse:pin_strip_6b,
P2,LED,pulse:pin_strip_3,
U2,MCP1754ST,pulse:SOT23-3,
D1,Z4V7,pulse:SOD323F,MM3Z4V7C
C1,10n,pulse:c_0805,
C2,100n,pulse:c_0805,
Q1,ZXMN10A07F,pulse:SOT23-3,
R3,2k2,pulse:r_0805_2,
R1,4k7,pulse:r_0805_2,
C4,100n,pulse:c_0805,
C3,4u7,pulse:c_0805,
D3,MBR0530T3G,pulse:SOD123,
P4,POT,pulse:pin_strip_3,
P5,PWM,pulse:pin_strip_3,
